root - INFO - Starting Analysing Java Repositories for evolution of antlr4 patterns...
root - INFO - Started processing repository -- SINTEF-9012/cloudml with repo id - 76
rororoot - INFO - Started processing repository -- linkedin/Cubert with repo id - 280
root - INFO - Started processing repository -- linkedin/parseq with repo id - 281
root - INFO - Started processing repository -- linkedin/rest.li with repo id - 282
root - INFO - Started processing repository -- linqs/psl with repo id - 283
root - INFO - Started processing repository -- lmcgrath/scotch-lang with repo id - 284
root - INFO - Started processing repository -- locationtech/geowave with repo id - 285
root - INFO - Started processing repository -- lockss/lockss-daemon with repo id - 286
root - INFO - Started processing repository -- logic-ng/LogicNG with repo id - 287
root - INFO - Started processing repository -- marcelganczak/swift-js-transpiler with repo id - 288
root - INFO - Started processing repository -- maskarade/Android-Orma with repo id - 289
root - INFO - Started processing repository -- melin/bigdata-sql-parser with repo id - 290
root - INFO - Started processing repository -- meridor/perspective-backend with repo id - 291
root - INFO - Started processing repository -- merrymercy/compiler2017 with repo id - 292
root - INFO - Started processing repository -- metadave/contact with repo id - 293
root - INFO - Started processing repository -- metadave/etp with repo id - 294
root - INFO - Started processing repository -- michel-kraemer/citeproc-java with repo id - 295
root - INFO - Started processing repository -- mike-lischke/vscode-antlr4 with repo id - 296
root - INFO - Started processing repository -- mir1128/kafkasql with repo id - 297
root - INFO - Started processing repository -- mjwrites/Cafecito with repo id - 298
root - INFO - Started processing repository -- mozafari/cliffguard with repo id - 299
root - INFO - Started processing repository -- mrc-ide/PhyDyn with repo id - 300
root - INFO - Finished Analysing Java Repositories for evolution of antlr4 patterns...
vit/antlr-denter with repo id - 433
root - INFO - Started processing repository -- zendesk/maxwell with repo id - 434
root - INFO - Started processing repository -- zhegexiaohuozi/JsoupXpath with repo id - 435
root - INFO - Started processing repository -- zhunki/skyfire with repo id - 436
root - INFO - Started processing repository -- zkoss/ztl with repo id - 437
root - INFO - Started processing repository -- zstackio/zstack with repo id - 438
root - INFO - Finished Analysing Java Repositories for evolution of antlr4 patterns...
intellij-adaptor with repo id - 105
root - INFO - Started processing repository -- antlr/intellij-plugin-v4 with repo id - 106
root - INFO - Started processing repository -- antlr/jetbrains-plugin-sample with repo id - 107
root - INFO - Started processing repository -- antlr/jetbrains-plugin-st4 with repo id - 108
root - INFO - Started processing repository -- antlr4ide/antlr4ide with repo id - 109
root - INFO - Started processing repository -- antlrjavaparser/antlr-java-parser with repo id - 110
root - INFO - Started processing repository -- aosp-mirror/platform_frameworks_support with repo id - 111
root - INFO - Started processing repository -- apache/apex-malhar with repo id - 112
root - INFO - Started processing repository -- apache/atlas with repo id - 113
root - INFO - Started processing repository -- apache/beam with repo id - 114
root - INFO - Started processing repository -- apache/directory-scimple with repo id - 115
root - INFO - Started processing repository -- apache/drill with repo id - 116
root - INFO - Started processing repository -- apache/eagle with repo id - 117
root - INFO - Started processing repository -- apache/groovy with repo id - 118
root - INFO - Started processing repository -- apache/hive with repo id - 119
root - INFO - Started processing repository -- apache/incubator-druid with repo id - 120
root - INFO - Started processing repository -- apache/incubator-pinot with repo id - 121
root - INFO - Started processing repository -- apache/incubator-tajo with repo id - 122
root - INFO - Started processing repository -- apache/incubator-tuweni with repo id - 123
root - INFO - Started processing repository -- apache/lucene-solr with repo id - 124
root - INFO - Started processing repository -- apache/metron with repo id - 125
root - INFO - Started processing repository -- apache/netbeans with repo id - 126
root - INFO - Started processing repository -- apache/plc4x with repo id - 127
root - INFO - Started processing repository -- apache/skywalking with repo id - 128
root - INFO - Started processing repository -- apache/syncope with repo id - 129
root - INFO - Started processing repository -- apache/systemml with repo id - 130
root - INFO - Started processing repository -- apache/tajo with repo id - 131
root - INFO - Started processing repository -- apollographql/apollo-android with repo id - 132
root - INFO - Started processing repository -- arcus-smart-home/arcusplatform with repo id - 133
root - INFO - Started processing repository -- artist-project/ARTIST with repo id - 134
root - INFO - Started processing repository -- asciidoctor/asciidoc-grammar-prototype with repo id - 135
root - INFO - Started processing repository -- atlascommunity/jira-plugins-groovy with repo id - 136
root - INFO - Started processing repository -- babyfish-ct/babyfish with repo id - 137
root - INFO - Started processing repository -- ballerina-platform/ballerina-lang with repo id - 138
root - INFO - Started processing repository -- bbejeck/sql-for-lucene with repo id - 139
root - INFO - Started processing repository -- bitnine-oss/octopus with repo id - 140
root - INFO - Started processing repository -- bkiers/Liqp with repo id - 141
root - INFO - Started processing repository -- bkiers/Mu with repo id - 142
root - INFO - Started processing repository -- bkiers/ecmascript-parser with repo id - 143
root - INFO - Started processing repository -- bkiers/pcre-parser with repo id - 144
root - INFO - Started processing repository -- bkiers/rrd-antlr4 with repo id - 145
root - INFO - Started processing repository -- bkiers/tiny-language-antlr4 with repo id - 146
root - INFO - Started processing repository -- blindpirate/the-definitive-antlr4-reference-code with repo id - 147
root - INFO - Started processing repository -- bohnman/squiggly with repo id - 148
root - INFO - Started processing repository -- boothen/Json-Eclipse-Plugin with repo id - 149
root - INFO - Started processing repository -- bootsrc/apidoc4j with repo id - 150
root - INFO - Finished Analysing Java Repositories for evolution of antlr4 patterns...
