repository,description,fork,created_at,updated_at,pushed_at,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,forks_count,open_issues_count,license,forks,open_issues,watchers,default_branch,subscribers_count,g4,rt
4455jkjh/Apktool-android,Apltool on Android,False,2019-02-23T17:00:53Z,2019-12-12T00:13:21Z,2019-05-16T13:52:02Z,13202,38,38,Java,True,True,True,True,False,15,3,GNU General Public License v2.0,15,3,38,master,6,13,17.0
52Jolynn/SqlParser,"SQL-92 parser, use antlr 4",False,2014-05-06T05:20:35Z,2019-03-06T15:35:10Z,2015-08-31T01:13:27Z,1606,14,14,Java,True,True,True,True,False,3,0,GNU General Public License v3.0,3,0,14,master,3,5,6.0
Adrodoc/MPL,A language to generate command blocks for Minecraft 1.9 and higher,False,2015-11-13T12:53:45Z,2019-02-04T02:33:25Z,2018-06-01T19:37:17Z,2807,12,12,Java,True,True,True,True,False,3,23,GNU General Public License v3.0,3,23,12,master,2,3,21.0
AlanHohn/antlr4-python,ANTLR 4 examples in Python,False,2016-03-16T01:49:23Z,2019-07-22T04:58:30Z,2016-03-30T02:50:50Z,10,23,23,ANTLR,True,True,True,True,False,2,0,Apache License 2.0,2,0,23,master,1,3,0.0
Andyccs/sqat,Check and analyse your Java code,False,2015-09-06T03:45:34Z,2017-04-18T08:53:02Z,2018-01-12T03:50:35Z,288,14,14,Java,True,True,True,False,False,1,3,MIT License,1,3,14,develop,3,1,6.0
Big5-sec/SourceFu,"hopefully a source-to-source deobfuscator, aiming at deobfuscating common scripts languages such as Powershell, VBA and Javascript. Current status: birth. Based on ANTLR",False,2019-01-02T15:47:21Z,2019-12-03T15:10:20Z,2019-08-17T22:09:10Z,33864,30,30,Java,True,True,True,True,True,2,0,Mozilla Public License 2.0,2,0,30,master,4,7,54.0
BitwiseInc/Hydrograph,A visual ETL development and debugging tool for big data,False,2017-03-09T20:49:55Z,2019-09-20T13:49:58Z,2019-11-13T04:31:28Z,35083,133,133,Java,True,True,True,True,True,96,27,Apache License 2.0,96,27,133,master,43,2,17.0
Blazebit/blaze-persistence,Rich Criteria API for JPA providers,False,2014-07-12T11:08:47Z,2019-12-09T22:16:43Z,2019-12-10T18:36:51Z,21023,146,146,Java,True,True,True,True,False,16,187,Other,16,187,146,master,13,2,7.0
Borisvl/bigbash,A converter that generates a bash one-liner from an SQL Select query (no DB necessary),False,2016-02-05T14:08:23Z,2019-12-08T15:51:47Z,2016-07-16T13:35:20Z,984,217,217,Java,True,False,True,False,False,5,3,Other,5,3,217,master,13,1,18.0
CST-Group/cst,"CST is the Cognitive Systems Toolkit, a toolkit for the construction of Cognitive Systems and Cognitive Architectures",False,2015-08-14T17:56:39Z,2019-11-17T02:33:55Z,2019-08-29T22:08:14Z,12230,17,17,Java,True,True,True,True,True,10,0,GNU Lesser General Public License v3.0,10,0,17,master,12,1,5.0
CallForSanity/Gaalop,"Gaalop (Geometic Algebra Algorithms Optimizer) is a software to compile and optimize geometric algebra (GA) expressions into high-level programming language code. Geometric algebra expressions can be developed using the freely available CLUCalc software by Christian Perwass. Gaalop optimizes CLUCalc expressions and produces C++ (AMP), OpenCL, CUDA, CLUCalc or LaTeX output. The optimized code is free of geometric algebra operations and runs very efficiently on various platforms.",False,2015-02-11T10:07:28Z,2019-12-04T07:15:45Z,2019-12-04T07:15:43Z,19346,34,34,Java,True,True,True,True,False,14,0,GNU Lesser General Public License v3.0,14,0,34,master,10,2,3.0
CampagneLaboratory/ANTLR_MPS,"An ANTLR language for MPS, and the ToMPS language to help create MPS languages and ANTRL visitors from an ANTLR 4 grammar. ",False,2015-06-10T22:45:47Z,2019-07-16T18:34:45Z,2017-09-06T19:06:22Z,8296,18,18,Java,True,True,True,True,False,5,3,Other,5,3,18,master,2,2,2.0
CategoricalData/CQL,Categorical Query Language IDE,False,2019-03-13T04:31:46Z,2019-12-12T17:14:17Z,2019-11-18T05:06:36Z,16189,122,122,Java,True,False,True,True,True,6,30,GNU Affero General Public License v3.0,6,30,122,master,21,14,1.0
Chris2011/DotNetCore-for-NetBeans,"Brings .NET Core with C# support to netbeans (Create projects, open Projects, etc.)",False,2015-07-14T08:04:57Z,2019-11-26T14:56:14Z,2019-05-12T21:14:54Z,7794,14,14,Java,True,True,True,True,False,5,9,MIT License,5,9,14,develop,4,3,5.0
ChronixDB/chronix.server,The Chronix Server implementation that is based on Apache Solr.,False,2015-10-02T11:04:02Z,2019-11-21T15:16:00Z,2019-11-18T13:02:58Z,2339,252,252,Java,True,False,True,False,False,25,7,Apache License 2.0,25,7,252,master,18,1,5.0
ClemsonRSRG/RESOLVE,RESOLVE (REusable SOftware Language with VErification) is a specification and programming language designed for verifying correctness of object oriented programs.,False,2012-08-23T19:19:54Z,2019-10-24T19:08:45Z,2019-07-26T12:29:50Z,11897,17,17,Java,True,False,True,True,False,12,4,"BSD 3-Clause ""New"" or ""Revised"" License",12,4,17,master,6,2,14.0
CodeKaio/gaia,"Gaia is a Terraform :earth_africa: UI for your terraform modules, and self-service infrastructure.",False,2019-04-26T14:22:42Z,2019-12-12T13:20:41Z,2019-12-12T17:19:59Z,1084,11,11,Java,True,True,True,False,False,1,29,Mozilla Public License 2.0,1,29,11,master,3,1,0.0
CodeNeedWho/JsDroidMobile,JsDroid客户端App，网址：http://www.jsdroid.com,False,2019-10-30T03:08:40Z,2019-12-11T09:14:16Z,2019-11-22T03:36:53Z,52862,23,23,Java,True,True,True,True,False,15,1,,15,1,23,master,2,4,101.0
Cognifide/APM,AEM Permission Management,False,2016-09-25T14:12:21Z,2019-12-12T13:53:55Z,2019-12-12T13:53:52Z,2290,41,41,Java,True,True,True,True,False,13,44,Apache License 2.0,13,44,41,master,51,1,0.0
